time,x_rel,y_rel,z_rel,separation
0,10,0,0,10
0.5506813186813186,9.9998290517256,0.02258631631785661,0,9.999854559213356
1.101362637362637,9.99908260151957,0.1112095787626339,0,9.999701017651473
1.652043956043956,9.996417435377641,0.2274799908093432,0,9.999005384964082
2.202725274725275,9.99216076544576,0.349276712386738,0,9.998263398427213
2.753406593406593,9.988278392793909,0.470910733659573,0,9.999373088900597
3.304087912087912,9.984481835057821,0.5928386651122131,0,10.00206654634189
3.854769230769231,9.979895419558201,0.7153775353830081,0,10.00550236637069
4.405450549450549,9.974201473782209,0.83836712010167,0,10.00937333041718
4.956131868131868,9.967301642714261,0.961684160625031,0,10.01358769181413
5.506813186813186,9.959193997466549,1.085322985120003,0,10.01815706910226
6.057494505494505,9.949964337042299,1.209390278254888,0,10.02319385992065
6.608175824175824,9.93971986304641,1.334074090958819,0,10.02884762253405
7.158857142857142,9.92850780843168,1.459616859287142,0,10.03522539248642
7.709538461538461,9.91629051254589,1.586283103490249,0,10.04236583747208
8.26021978021978,9.902924590907229,1.714316869233657,0,10.05021381769235
8.810901098901098,9.888081463926049,1.843869591758608,0,10.05852922194144
9.361582417582417,9.8713567803064,1.975017691892855,0,10.06699456478402
9.912263736263736,9.852149101032801,2.107648093302514,0,10.07506934934858
10.46294505494505,9.829948553043099,2.241501358868567,0,10.08227240741311
11.01362637362637,9.804243749226849,2.37615117260149,0,10.08807661991666
11.56430769230769,9.774596733801449,2.51108068685467,0,10.09199026576703
12.11498901098901,9.74075996366585,2.64579244197935,0,10.0936922043319
12.66567032967033,9.702834166676219,2.7798872253587,0,10.09320384475276
13.21635164835165,9.661165729752639,2.91310346559056,0,10.09080249826457
13.76703296703297,9.61619750800056,3.04531555670108,0,10.08688263799881
14.31771428571428,9.568413626802801,3.17651862876778,0,10.08190507456276
14.8683956043956,9.51829504965103,3.30680454559061,0,10.07635335599889
15.41907692307692,9.466250548522599,3.43631842874724,0,10.07065955095059
15.96975824175824,9.412580434772771,3.56523640163082,0,10.06516671697894
16.52043956043956,9.35741092873754,3.69371571250638,0,10.0600534319691
17.07112087912088,9.300736755319701,3.82187202640415,0,10.05536722243228
17.6218021978022,9.24246981349399,3.94977126379533,0,10.05106667422175
18.17248351648352,9.182484745292181,4.07742243382118,0,10.04705926136359
18.72316483516483,9.12064312119184,4.20480463263914,0,10.04323219600182
19.27384615384615,9.056837807648229,4.33186401437208,0,10.03948987314884
19.82452747252747,8.991008208999929,4.45855529109023,0,10.03578317312669
20.37520879120879,8.923131528824809,4.58482327580449,0,10.03209254099393
20.92589010989011,8.853215857803651,4.710596587049229,0,10.02841718471992
21.47657142857143,8.78126734080131,4.83578833370632,0,10.02474463111325
22.02725274725275,8.707279807484539,4.96029130364649,0,10.02103844234014
22.57793406593407,8.63125146057453,5.08398605271698,0,10.0172559096736
23.12861538461538,8.55318270673574,5.20676804382962,0,10.01335947008039
23.6792967032967,8.473093483798671,5.32854496356776,0,10.00933087743406
24.22997802197802,8.391005413534989,5.449249953352989,0,10.00516351211169
24.78065934065934,8.30694961537991,5.568828369433,0,10.00086302879218
25.33134065934066,8.22097727047826,5.68726187858522,0,9.996470124865521
25.88202197802197,8.13314461712409,5.80454009009691,0,9.992033177516817
26.43270329670329,8.04350615398943,5.920672376468509,0,9.987609956277982
26.98338461538462,7.95210354800077,6.03565859906621,0,9.983242236999377
27.53406593406593,7.8589773257198,6.14949807660186,0,9.978970447912346
28.08474725274725,7.76415496746367,6.26218555555711,0,9.974821817507262
28.63542857142857,7.66764474535916,6.37369786181545,0,9.97079737908382
29.18610989010989,7.56944992340731,6.48400163664222,0,9.966887646951275
29.73679120879121,7.46956856371111,6.59305785654702,0,9.963075149157394
30.28747252747252,7.36801072692465,6.700827917833561,0,9.959351226686122
30.83815384615384,7.264773549278971,6.80726186692176,0,9.955689270319283
31.38883516483516,7.15985462788365,6.91231097355198,0,9.952063167379618
31.93951648351648,7.0532609029147,7.015914190441769,0,9.948444164402154
32.4901978021978,6.94501048811953,7.11802963762535,0,9.944823608400661
33.04087912087912,6.83513597900884,7.21861510406293,0,9.941201530607183
33.59156043956044,6.7236699651267,7.3176432959662,0,9.937587293047843
34.14224175824175,6.6106551019684,7.41510045430425,0,9.934006020966764
34.69292307692307,6.49612388292771,7.510965800098139,0,9.930469916000334
35.24360439560439,6.38010499048053,7.60520158731121,0,9.926974910474767
35.79428571428571,6.262626271063709,7.69777618421451,0,9.923519838911869
36.34496703296703,6.14371134238089,7.788674359744871,0,9.920112768544859
36.89564835164835,6.02338041722119,7.87787812702135,0,9.916757304419885
37.44632967032967,5.90165415084137,7.965362195815139,0,9.913451297437444
37.99701098901099,5.77856720239344,8.051096356768999,0,9.910196338042763
38.5476923076923,5.65414239240093,8.13506238191396,0,9.906995818671618
39.09837362637362,5.52840418274964,8.217237199256159,0,9.903849756366608
39.64905494505494,5.4013856917165,8.297592387172621,0,9.900757890906371
40.19973626373626,5.27311653201049,8.376110676812781,0,9.897726407129033
40.75041758241758,5.143623538191299,8.45277437499831,0,9.894759104559526
41.3010989010989,5.012934005281981,8.527557646908591,0,9.891852544526815
41.85178021978022,4.8810763592608,8.600431872108931,0,9.889000698337613
42.40246153846154,4.748079909289929,8.67137302706602,0,9.886201140960605
42.95314285714285,4.61397074341465,8.740356114260781,0,9.883448336748776
43.50382417582417,4.47877700223442,8.80736213428462,0,9.880742441748721
44.05450549450549,4.34252865842217,8.872372782835679,0,9.878084528228191
44.60518681318681,4.20525139174949,8.93535989162206,0,9.875464326330141
45.15586813186813,4.06698698176509,8.996313165413,0,9.872893885787995
45.70654945054945,3.927769812252,9.055216104080081,0,9.870375595165028
46.25723076923077,3.78763075780793,9.11204996060264,0,9.867907642555803
46.80791208791209,3.64660582993812,9.166801826582329,0,9.865494909368298
47.3585934065934,3.5047169599744,9.21945936126432,0,9.863137020417819
47.90927472527472,3.36200287230905,9.2699908891097,0,9.860821182720592
48.45995604395604,3.21849486330476,9.31839937480394,0,9.858563591794983
49.01063736263736,3.07422719444158,9.36466193711499,0,9.856356631103322
